run_id,sequence_name,alpha,beta,gamma,theta_threshold,activation_function,rmse_quaternions,rmse_euler_angles
e36be5c4264b9bed9a31914367a0f070,MH_03_medium,0.7,0.8,1.0,0.2,relu,"[0.007831526649220256, 0.008673960839841864, 0.007209900625523814, 0.007438854596670138]","[2.6381184015952273, 1.012606722457125, 2.3683202464435946]"
58fdc54f1d27ea09b9cb7867fea2ef9f,MH_04_difficult,0.7,0.8,1.0,0.2,relu,"[0.013234170461639938, 0.010885514358805748, 0.015202671889110547, 0.006225099048782107]","[3.342889370129691, 0.6434111549707017, 2.3135452428384133]"
4ac1215bc3dfd66775f3369d719f300e,MH_05_difficult,0.7,0.8,1.0,0.2,relu,"[0.012596198334042115, 0.015649568495320943, 0.023945537329600176, 0.00954329703537729]","[5.09962303775525, 0.7242273853620489, 1.889960872670727]"
63226226b5ad544e8f2299687b954045,MH_03_medium,0.7,0.8,1.0,0.23,relu,"[0.007931619433453444, 0.008888331058771891, 0.007218943474627118, 0.007318395722992236]","[2.675911109139238, 1.0153887777943245, 2.3734621273594807]"
0c67daa6af2dea25d45d4c99546c1607,MH_04_difficult,0.7,0.8,1.0,0.23,relu,"[0.014738830586753661, 0.011577492424089363, 0.016903860381717435, 0.006713040392492741]","[3.477924807259485, 0.6423708803297755, 2.3277602392750683]"
eb9a5a1f10ab4976a52096efe15de003,MH_05_difficult,0.7,0.8,1.0,0.23,relu,"[0.011943138986571214, 0.014978105566019083, 0.02284433013956374, 0.009093615355404297]","[4.904445721240286, 0.7242451114669336, 1.8598737458936248]"
420cffd2a936c01bc310fe620ade32f5,MH_03_medium,0.7,0.8,1.0,0.25,relu,"[0.008096409758128548, 0.008694213706623865, 0.007385941255706052, 0.008037500608254951]","[2.5738964174112544, 1.0144562386016729, 2.3950266370826823]"
0076d6f0c7a5f55bdbdc9735ad2b429e,MH_04_difficult,0.7,0.8,1.0,0.25,relu,"[0.017429945730559723, 0.012685982128021816, 0.019972501636460832, 0.007657737175692853]","[3.6973934583553043, 0.6371354741623886, 2.326723224585807]"
1406250811cada3e18089a83428421a4,MH_05_difficult,0.7,0.8,1.0,0.25,relu,"[0.013214022663523124, 0.0160365268821508, 0.0248990983333015, 0.009838145854516821]","[5.239335081202136, 0.7269906949783237, 1.888750559515943]"
7fd316d710226a8a003943c0ffda4030,MH_03_medium,0.7,0.8,1.0,0.28,relu,"[0.007898376337695632, 0.008907616067476894, 0.007198921922590706, 0.007352447622353638]","[2.668714165075212, 1.0120956769403227, 2.364326560313094]"
a48011f7097a1cb6ca94474ffd9e675e,MH_04_difficult,0.7,0.8,1.0,0.28,relu,"[0.016252447550388256, 0.012393475650923776, 0.018906250655620918, 0.007327650947989144]","[3.694098879568948, 0.6411322992849603, 2.360858435036491]"
785846b56408b8b5b6df03ba80e138ae,MH_05_difficult,0.7,0.8,1.0,0.28,relu,"[0.012829772280544922, 0.015660733081362715, 0.024226123985602695, 0.009612982262479603]","[5.117848942139573, 0.7230921223747703, 1.8689316836587202]"
178aafb026f6074ac24d1dfc735619e4,MH_03_medium,0.7,0.8,1.0,0.3,relu,"[0.007956166870838636, 0.008676340536008409, 0.007281851389177976, 0.007653330859183997]","[2.628530227610944, 1.0169199574555967, 2.396149963627482]"
01ff80925aefb95ef8735d95d0e1dbed,MH_04_difficult,0.7,0.8,1.0,0.3,relu,"[0.018150463248203696, 0.012792071124687474, 0.020963844907154958, 0.007642202834917178]","[3.7938572255983445, 0.6387461134677179, 2.3255585845141398]"
87bf9789d47feb93a3b0989129f82eb8,MH_05_difficult,0.7,0.8,1.0,0.3,relu,"[0.012583993448056281, 0.015528876279915954, 0.023822740186311312, 0.009427272731307166]","[5.073534395869937, 0.7218795264972107, 1.8928928540493992]"
e680a55caf7490ad759e408dc74e3bd1,MH_03_medium,0.7,0.8,1.0,0.2,double_exponential_sigmoid,"[0.008092772006180114, 0.008832295752979915, 0.007384175935806915, 0.007708899548984339]","[2.620988527371747, 1.0115860574645068, 2.3763921190051143]"
c6124fae668b4080791ae5efefc8510d,MH_04_difficult,0.7,0.8,1.0,0.2,double_exponential_sigmoid,"[0.013977507812725288, 0.011329557285413494, 0.016172299118929766, 0.0065147982122904765]","[3.447850814771919, 0.6436377776091942, 2.3270780677074594]"
